,Neighbourhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"Malvern,Rouge",43.806686299999996,-79.19435340000001,Paradise Salon and Med Spa,43.802074,-79.199198,Salon / Barbershop
1,"Malvern,Rouge",43.806686299999996,-79.19435340000001,The Experience,43.80122065712124,-79.19783804136077,Salon / Barbershop
2,"Malvern,Rouge",43.806686299999996,-79.19435340000001,First Choice Haircutters,43.799770989581745,-79.19797577282293,Salon / Barbershop
3,"Malvern,Rouge",43.806686299999996,-79.19435340000001,Nice One Nails,43.798647016737554,-79.19591528916169,Salon / Barbershop
4,"Rouge Hill,Port Union,Highland Creek",43.7845351,-79.16049709999999,The Right Cut,43.78358873479618,-79.16883834238348,Salon / Barbershop
5,"Guildwood,Morningside,West Hill",43.7635726,-79.1887115,All In One Hair & Nails,43.762348,-79.183546,Salon / Barbershop
6,"Guildwood,Morningside,West Hill",43.7635726,-79.1887115,Rexall,43.768806,-79.188405,Salon / Barbershop
7,"Guildwood,Morningside,West Hill",43.7635726,-79.1887115,First Choice Haircutters,43.76921867036633,-79.1845377449764,Salon / Barbershop
8,"Guildwood,Morningside,West Hill",43.7635726,-79.1887115,Magicuts,43.7705231,-79.1864221,Salon / Barbershop
9,"Guildwood,Morningside,West Hill",43.7635726,-79.1887115,Hair Gurus Corporation,43.759324,-79.19738,Salon / Barbershop
10,"Guildwood,Morningside,West Hill",43.7635726,-79.1887115,Lechelle's Adams,43.771108,-79.18712,Salon / Barbershop
11,Woburn,43.7709921,-79.21691740000001,Herbal Esthetics And Hairstyling,43.767471,-79.22751,Salon / Barbershop
12,Scarborough Village,43.7447342,-79.23947609999999,Elaine Unisex Barbershop,43.743893075353775,-79.2448643873715,Salon / Barbershop
13,Scarborough Village,43.7447342,-79.23947609999999,Michi Me's,43.7476643665424,-79.24380530196575,Salon / Barbershop
14,Scarborough Village,43.7447342,-79.23947609999999,Reeny's Hair Design,43.747773,-79.245601,Salon / Barbershop
15,Scarborough Village,43.7447342,-79.23947609999999,The Fade Factory,43.73730005613855,-79.2360976123577,Salon / Barbershop
16,Ionview,43.7279292,-79.26202940000002,Monique Hair Design,43.727249,-79.265877,Salon / Barbershop
17,Ionview,43.7279292,-79.26202940000002,Cut Creator,43.73381,-79.25807,Salon / Barbershop
18,Ionview,43.7279292,-79.26202940000002,Diana beauty salon,43.73206780577376,-79.27024597120732,Salon / Barbershop
19,Ionview,43.7279292,-79.26202940000002,Super D's Salon,43.734517,-79.257379,Salon / Barbershop
20,"Clairlea,Oakridge",43.711111700000004,-79.2845772,Peter's Barber Shop,43.7108005955391,-79.29139937751069,Salon / Barbershop
21,"Clairlea,Oakridge",43.711111700000004,-79.2845772,Star Men's Hairstyling Barbershop,43.70798836939416,-79.29587384093873,Salon / Barbershop
22,"Clairlea,Oakridge",43.711111700000004,-79.2845772,Hair Star,43.707615,-79.29604,Salon / Barbershop
23,"Cliffside,Cliffcrest",43.716316,-79.23947609999999,Marilyn's & V's Hairstyling,43.720788,-79.242126,Salon / Barbershop
24,"Cliffside,Cliffcrest",43.716316,-79.23947609999999,Marilyn's Hairstyling,43.720909827192386,-79.2459326444853,Salon / Barbershop
25,Birch Cliff,43.692657000000004,-79.2648481,Hair by Nature,43.68962097167969,-79.26764678955078,Salon / Barbershop
26,Dorset Park,43.7574096,-79.27330400000001,Fresh Fades Barbershop,43.75340777994169,-79.27683413028717,Salon / Barbershop
27,Dorset Park,43.7574096,-79.27330400000001,New Lifestyle Hair Design,43.761859079338656,-79.28008843198096,Salon / Barbershop
28,Dorset Park,43.7574096,-79.27330400000001,Suo Bi Hair Salon,43.750811,-79.277459,Salon / Barbershop
29,Dorset Park,43.7574096,-79.27330400000001,Perms And Cuts,43.7643098,-79.2779509,Salon / Barbershop
30,Dorset Park,43.7574096,-79.27330400000001,Skinz Barber Shop,43.751589,-79.264046,Salon / Barbershop
